mcEdepQuenched,BerekelyAlphaBeta
1.3925,-61.343
0.613728,-29.978
1.49085,-104.102
1.20697,-84.0787
0.136841,-10.6668
0.247021,-17.4766
0.60715,-46.2521
0.186702,-11.5232
1.39203,-79.3137
0.23031,-9.29787
0.305998,-16.1319
1.64668,-108.615
0.944465,-51.2403
0.392407,-14.2734
1.63867,-64.077
0.880028,-45.887
0.621717,-38.0416
1.11846,-80.7167
1.04669,-68.2869
0.556101,-32.0536
0.238372,-12.4626
0.259621,-13.7965
1.28734,-75.9195
1.07359,-61.5957
0.970583,-48.7231
1.01073,-42.2926
0.512611,-38.7984
1.53775,-100.283
1.13499,-53.3294
0.13099,-7.55809
0.46551,-31.1028
1.06232,-68.305
0.345445,-18.9971
0.43382,-32.9054
0.939074,-63.9375
1.21772,-89.7606
1.74568,-108.113
0.976062,-41.2194
0.759587,-52.1206
1.22291,-56.8397
1.12861,-71.1303
1.72306,-124.091
1.0761,-66.2549
0.451034,-22.4541
1.04147,-71.2839
1.14741,-74.7066
1.18288,-47.4347
0.391142,-29.9429
2.08627,-116.349
1.67764,-87.109
0.246419,-12.6162
0.8094,-30.1404
1.03234,-52.1442
0.910888,-54.6562
0.966968,-41.4263
1.03145,-66.7709
1.08233,-78.2212
1.53991,-54.7646
1.03615,-61.6742
1.0995,-61.6441
0.5559,-39.504
0.270318,-13.8625
0.998203,-58.2331
0.202053,-14.729
0.836035,-56.2582
0.13352,-9.86653
0.702212,-41.341
1.25229,-75.3018
0.581358,-42.6954
1.35756,-82.5488
0.331228,-25.5357
0.574175,-22.5477
1.63808,-108.004
0.563602,-36.3091
0.653394,-39.6841
0.70544,-48.2054
0.482465,-36.2401
0.23933,-13.4362
0.877616,-52.375
0.264144,-13.9131
1.12749,-79.5859
0.12764,-7.08516
0.528814,-32.366
0.948383,-66.1847
1.84281,-129.293
1.2833,-58.5012
0.479825,-36.8839
1.31792,-86.9679
0.523018,-27.1997
0.945309,-39.6859
0.641993,-38.4756
1.36052,-65.1444
0.590646,-41.3333
0.382779,-18.6496
1.446,-100.94
0.878163,-45.2041
1.54504,-87.1724
1.70891,-125.98
1.42132,-78.7991
0.918197,-71.7703
0.684671,-35.6099
1.58682,-88.7912
1.41341,-90.2852
0.44775,-22.6168
1.03685,-63.3987
0.575872,-35.5893
1.17985,-60.0666
0.717232,-41.5655
1.39958,-82.9423
0.606792,-36.9525
1.13453,-75.5198
0.215261,-7.50502
0.283876,-16.6511
1.49714,-60.3099
1.37241,-86.2655
0.676861,-49.2706
0.145047,-7.64257
1.31003,-81.7521
0.679327,-44.5412
1.76696,-75.6313
1.12555,-31.1472
0.992285,-61.4555
1.45985,-89.923
0.750607,-40.528
0.421767,-20.7026
0.221704,-12.1792
1.19415,-78.5259
0.707843,-40.7832
0.522238,-28.7873
1.39583,-80.2872
0.235843,-16.7883
0.123958,-8.58512
1.13206,-80.603
1.00433,-68.7296
1.07187,-75.4315
0.356172,-22.9283
0.774611,-41.6215
1.05759,-74.2402
0.814685,-50.6525
0.699587,-41.9711
0.74799,-58.4771
0.358152,-22.4899
0.804804,-48.4876
1.67944,-104.858
0.616835,-41.8956
1.26013,-66.1369
1.50798,-102.289
1.01164,-69.6975
0.790118,-56.0022
0.789081,-53.6874
0.593138,-31.5508
1.68345,-84.2076
0.920646,-65.3961
0.913858,-70.1197
1.53056,-102.918
1.33807,-83.6816
0.82604,-59.4247
0.763005,-50.5765
1.06318,-52.9482
0.451602,-18.3052
1.63214,-92.9919
0.783277,-51.0659
0.79821,-51.1446
1.56509,-77.9428
0.420826,-15.5049
0.586551,-42.9457
0.404381,-26.6227
0.596014,-38.1568
0.117571,-9.48105
0.754038,-58.6555
0.92772,-69.9108
1.31187,-62.7333
0.775466,-52.5802
0.797949,-50.3487
0.440777,-33.6556
1.14547,-72.1222
1.56881,-76.6677
1.77557,-62.6933
1.39275,-92.2516
0.731555,-51.7944
1.75905,-107.701
1.46104,-88.3815
0.53723,-28.6288
1.50499,-72.9426
1.56567,-71.2699
1.75697,-116.204
1.35947,-95.8888
1.58666,-84.4181
0.332653,-11.9704
0.846689,-44.2011
1.38233,-102.463
0.969802,-69.4708
0.300175,-17.6211
1.2416,-78.8106
0.814257,-51.178
0.258515,-12.1254
0.832705,-56.1828
0.418469,-27.7386
0.725157,-45.4673
0.310986,-18.3507
0.610286,-35.5534
1.16975,-67.0646
0.382981,-15.9123
0.39231,-18.5459
0.249892,-12.8428
1.23895,-80.1172
0.246628,-16.0816
1.02052,-46.5261
1.41332,-89.4812
0.345146,-14.1212
0.0832806,-6.41577
0.126012,-6.29023
0.0836934,-6.23939
0.280091,-7.9987
1.41558,-78.6437
0.512766,-36.6289
0.801926,-39.3769
1.58665,-79.5678
0.671933,-30.6236
0.0576844,-4.63968
0.391969,-22.0391
0.751916,-51.6171
1.48001,-56.6948
1.49646,-118.552
0.248668,-9.74402
1.02761,-68.2167
1.14869,-83.521
0.604426,-39.6426
0.225076,-13.5116
0.900183,-59.8921
0.154356,-15.5091
0.58934,-36.1728
0.852648,-29.9759
1.27662,-72.6535
0.561541,-36.7268
0.387335,-21.3191
0.802423,-43.3594
0.601108,-36.1303
0.15973,-8.85049
0.848456,-56.3935
1.30092,-81.1803
0.890568,-61.193
0.968775,-44.2993
0.183431,-16.4296
1.0496,-63.0337
1.68638,-110.573
1.12132,-70.0438
1.06724,-71.3261
1.51557,-66.4479
0.163183,-10.8789
0.35963,-26.0351
0.327658,-14.387
0.335373,-23.9717
0.326421,-15.8394
0.923428,-48.7269
1.19913,-43.6773
0.387157,-30.1217
0.953881,-58.7594
0.223486,-14.0064
1.30467,-78.2099
0.508112,-37.2492
0.45388,-32.0895
0.397203,-31.888
0.426326,-30.7927
0.174233,-8.69728
0.215606,-19.5523
1.59397,-99.6943
0.652721,-43.8264
0.869466,-55.2996
1.46002,-48.1064
1.49605,-93.3882
1.41279,-61.2247
1.40806,-68.2579
0.845591,-59.5387
1.03039,-60.6637
1.10285,-72.8895
1.09986,-78.175
0.834679,-33.8208
0.410973,-18.0792
0.209738,-7.62853
1.16841,-62.0826
1.02126,-72.1918
0.923866,-48.9302
0.35356,-11.1021
0.517248,-27.3862
1.48174,-80.0786
1.03891,-41.9679
1.22097,-79.8536
1.08993,-74.1883
0.465577,-30.9576
0.651045,-30.5827
1.4523,-89.1473
1.30832,-75.3514
0.377259,-24.6831
1.31794,-59.3783
0.520912,-33.331
0.803481,-38.7406
0.606862,-41.4479
0.797826,-36.279
0.280133,-14.2142
1.44977,-92.5598
0.91921,-57.6239
0.901083,-55.4564
0.986974,-64.2604
1.10685,-70.0539
0.780554,-29.7599
0.671436,-42.0821
1.2337,-69.7927
0.336032,-21.1556
1.18388,-76.3203
1.02319,-60.7734
0.862291,-52.904
0.94374,-62.0536
0.396887,-13.9006
1.66549,-67.2661
1.61106,-57.7738
1.0417,-64.91
1.02109,-61.2863
0.431272,-32.8651
1.47227,-88.7985
0.910746,-47.8181
0.399148,-24.8702
1.25223,-43.3901
0.615815,-40.7158
0.28488,-19.6266
1.71485,-116.718
0.838677,-55.1885
1.59516,-65.6656
0.605073,-37.63
0.377898,-29.6927
1.05184,-78.956
0.882095,-50.5107
0.469958,-31.1437
1.74998,-80.7069
1.2998,-79.5661
0.475453,-26.4627
0.598514,-31.0829
0.214153,-12.97
0.142388,-7.82993
0.618722,-37.307
0.895811,-54.7123
1.67021,-110.78
0.119774,-7.26497
0.326873,-18.7745
0.523801,-26.9971
0.392871,-27.4942
0.623334,-34.5703
0.116013,-7.67974
0.75665,-38.5523
1.12349,-76.5835
1.34898,-100.796
1.22918,-79.956
0.80619,-52.3673
1.33289,-86.4039
1.58546,-93.6131
0.692834,-47.9142
1.48897,-93.3273
0.690094,-45.274
1.24111,-80.6083
0.620766,-46.047
0.968639,-62.7246
0.366732,-13.9999
1.41277,-71.8146
1.55937,-102.222
0.832893,-70.7724
1.31221,-86.0698
1.0385,-66.5774
0.468199,-20.3176
0.541197,-39.2311
0.663178,-42.9835
0.101468,-6.98521
1.12644,-59.8782
1.25227,-57.367
0.741507,-48.7075
0.10649,-5.28917
0.878319,-65.1566
0.22816,-7.59117
0.99613,-63.8328
0.549339,-28.3704
0.627479,-36.9331
0.33737,-20.6037
1.09967,-53.1137
1.83372,-110.308
0.997246,-74.9276
0.635982,-52.7121
0.587855,-34.3514
1.24577,-80.8399
1.25438,-54.6578
0.852026,-38.9314
1.92692,-74.9222
0.105224,-7.34538
1.2502,-55.6794
1.20748,-80.8307
0.0923851,-5.94809
0.457433,-30.8111
0.615109,-34.3443
0.190346,-9.06225
1.30264,-62.0287
1.00438,-49.4431
1.02863,-49.6835
0.205247,-16.1095
1.94335,-68.803
0.917237,-59.3992
0.274868,-20.5737
1.73208,-92.3615
1.70525,-93.7397
1.30533,-84.8187
0.890516,-54.5334
1.71822,-110.68
0.66973,-38.2336
0.482376,-29.5388
1.07021,-78.3869
0.363874,-28.5467
0.447213,-22.3748
1.31036,-74.2324
0.247001,-11.8275
0.822713,-55.9221
1.28801,-53.6179
0.624369,-47.9662
1.03985,-55.7101
0.417987,-25.1792
1.96051,-76.1545
0.669758,-42.3137
1.07748,-59.6682
0.926221,-51.4961
0.350946,-25.6695
1.03845,-74.6819
1.05208,-49.687
0.870778,-53.6154
0.745586,-50.7182
0.227242,-15.0398
0.69935,-47.6305
1.82652,-130.349
0.949835,-65.2705
1.60863,-104.638
1.20525,-83.9567
1.01987,-75.5333
0.830946,-50.1241
0.770864,-49.7651
1.07098,-72.8522
1.04217,-52.0824
0.569567,-31.6531
0.63887,-35.3417
0.608002,-25.444
0.192842,-14.2676
1.00623,-64.3365
1.11059,-68.8387
1.1387,-76.7563
1.06577,-69.0148
0.206438,-13.2179
0.929565,-36.0051
1.09242,-59.71
0.918609,-63.0879
1.2273,-81.769
0.280232,-21.6194
0.889879,-55.8265
1.51113,-92.2652
0.194147,-11.2313
0.935048,-54.7774
1.49439,-82.4794
1.77045,-104.894
1.15808,-76.8555
0.763678,-52.4286
0.704046,-30.7972
0.256678,-17.1194
1.04406,-60.8867
0.501929,-22.9466
0.330901,-6.00441
1.66157,-115.129
0.699493,-46.7339
0.322277,-12.9195
1.36581,-56.1427
1.0385,-46.0051
1.75802,-117.64
1.46312,-87.5558
1.04761,-69.1067
1.26965,-72.2312
0.838888,-61.8887
1.48297,-100.98
0.662252,-37.4489
1.09879,-67.9705
0.764581,-41.8257
0.643875,-39.8319
0.359881,-21.5712
0.709931,-46.2645
0.950887,-56.1451
1.06916,-53.8295
0.548241,-30.3897
0.457934,-36.8804
0.878333,-10.1049
1.5294,-89.4429
0.300254,-22.3669
1.38312,-83.8714
1.25554,-81.4944
1.24493,-93.6394
0.158627,-10.6802
0.948116,-47.3039
0.605164,-39.1806
1.31966,-67.7127
0.0574932,-4.43046
0.535986,-28.5775
0.879593,-55.4221
0.425794,-25.1889
0.430037,-29.5875
0.806127,-31.3125
0.56084,-33.4099
0.43175,-31.2454
0.260491,-21.2562
0.124779,-5.19161
0.497842,-27.6061
1.05648,-67.014
1.07142,-62.3322
0.3928,-34.4253
1.15843,-70.8767
0.22905,-21.6651
0.170308,-6.25846
0.974029,-65.7274
1.66023,-102.889
0.462006,-29.4225
1.31673,-54.8359
0.399928,-15.6792
0.977461,-64.7168
1.65097,-110.783
1.48076,-98.7744
1.91012,-106.366
1.27942,-56.707
0.367683,-29.2978
0.504883,-25.412
1.62841,-66.3943
0.907562,-57.9981
0.416356,-28.0252
1.34574,-56.8932
1.88228,-117.447
1.21761,-79.6607
0.74565,-37.6587
0.843512,-58.6939
1.11171,-70.9464
1.31737,-83.7077
1.44023,-91.1756
1.32426,-81.1092
1.49298,-96.6972
0.351537,-25.5597
0.810826,-42.0246
1.97691,-135.258
0.756634,-33.5799
0.696401,-33.6382
0.357093,-26.2306
0.292465,-15.6224
1.50387,-85.2996
0.981433,-65.7365
0.132662,-11.3494
1.58741,-66.4349
0.706142,-42.9385
0.319953,-25.7425
0.727732,-26.6284
1.59149,-94.4897
1.05619,-61.7977
1.14372,-45.4658
0.495869,-30.4107
1.4672,-97.5867
0.326551,-21.0322
0.636247,-42.4693
1.14161,-85.0666
1.80977,-114.578
0.876919,-56.2288
0.996779,-32.0046
1.23071,-49.4167
1.48805,-75.7906
0.618069,-35.0243
0.470262,-25.7434
0.0808307,0.810802
0.0979262,-6.78411
0.385412,-24.5545
0.544885,-31.1902
0.675706,-32.1141
0.553957,-37.4401
1.80467,-114.336
0.798371,-46.4477
1.37885,-55.0327
1.60114,-104.028
0.647181,-26.045
1.1733,-87.8092
1.20331,-81.5648
0.948656,-61.9172
0.765521,-52.1331
0.585186,-34.891
0.297812,-17.6502
0.110148,-5.06913
0.54523,-33.598
0.834862,-52.0307
0.496702,-35.2045
1.30188,-61.3154
1.37958,-68.4987
0.651228,-45.5885
1.34642,-73.6336
0.8357,-59.257
0.213583,-5.10746
0.104526,-8.10604
0.861003,-47.3253
0.336843,-16.5992
0.79083,-57.3715
0.747127,-46.8929
0.766764,-45.0256
1.54594,-102.717
1.01244,-62.4228
0.168563,-13.1142
0.463387,-18.1651
0.357044,-22.5801
0.520444,-22.4275
0.733149,-44.4121
0.162383,-11.6066
0.563144,-28.1957
0.891836,-62.3625
0.631737,-46.4563
0.686722,-40.4054
0.180775,-5.9341
1.02253,-64.0781
1.02465,-64.5481
0.180161,-10.504
0.262466,-14.5148
0.554221,-32.5473
0.512856,-31.9438
0.266333,-12.8224
1.47759,-98.7198
0.258963,-7.651
0.859692,-46.3336
1.14095,-65.0708
0.394469,-25.0811
1.35919,-63.4766
0.79601,-47.1388
0.836161,-50.1429
1.00147,-44.9607
1.44146,-76.8384
1.48981,-93.4465
0.68017,-24.7815
0.330605,-17.7857
1.59325,-80.7231
0.552805,-27.1754
1.43739,-89.6618
0.953491,-60.1577
0.729084,-35.2994
0.180713,-10.4023
0.785751,-51.3648
0.272798,-12.8251
0.241763,-12.5985
0.826465,-61.2193
0.2306,-9.722
0.973423,-42.4793
0.943366,-64.9873
0.262323,-20.6078
1.98182,-75.2133
0.226526,-13.613
0.894329,-58.8678
0.573334,-38.386
0.736468,-47.1565
1.7703,-121.368
0.604496,-27.3356
0.981965,-40.8333
0.665553,-55.7549
0.724231,-32.871
1.55324,-56.1996
0.664827,-51.0053
0.484774,-32.0754
1.55739,-86.1305
0.691331,-34.7142
1.30121,-90.1472
1.50808,-89.4087
0.518722,-35.7796
0.898576,-41.8765
0.718374,-27.8295
0.899607,-55.4099
1.22389,-78.3182
1.22774,-76.8087
1.90729,-74.0768
0.0973328,-8.06583
0.689512,-40.9003
0.114885,-8.43248
0.782479,-51.1257
0.532252,-37.966
1.22826,-67.4444
1.96715,-110.854
0.992109,-71.1383
0.0578728,-2.99719
0.606052,-27.4047
0.786736,-38.9204
0.208391,-13.2352
0.168878,-11.7764
0.710466,-32.6722
0.920062,-40.4805
0.583451,-34.4395
0.925768,-57.5674
1.22641,-73.3735
1.16812,-78.3474
0.535318,-34.0629
0.553559,-43.4177
0.774464,-41.0412
1.09885,-74.9099
0.476122,-15.6137
0.482107,-26.6848
0.64064,-33.497
0.369207,-20.0903
1.23936,-46.6647
0.794189,-56.0314
1.0359,-53.7143
0.740354,-42.8324
0.601316,-30.7996
0.358986,-21.1719
0.133125,-2.3965
1.54494,-94.8756
1.58131,-108.04
0.476956,-41.6607
1.39093,-64.9121
1.41465,-100.305
0.919577,-50.9356
1.50923,-60.8161
1.60556,-100.243
0.708398,-37.8208
0.163928,-7.59428
1.77376,-121.167
1.90198,-129.566
1.12707,-66.227
0.996276,-58.8251
0.579924,-35.5403
0.143343,-6.58385
1.72137,-79.29
1.0628,-71.2527
1.13741,-45.6674
0.446868,-31.2041
1.51542,-91.8276
0.346448,-17.1784
1.42639,-65.8295
1.19435,-71.9405
0.0878273,-4.10235
0.997215,-62.3237
1.07143,-73.5727
0.419835,-33.199
0.275645,-18.8399
0.927019,-55.5203
0.313553,-15.008
1.09954,-75.9383
0.188776,-13.4186
0.742787,-49.5745
0.16551,-8.45107
0.870584,-31.3121
0.872912,-64.7274
0.400425,-19.2745
0.974941,-66.4016
0.289936,-8.68113
0.463341,-28.7728
1.13629,-44.9013
0.502947,-34.7999
0.773136,-44.1773
0.802954,-48.273
1.40926,-48.149
0.7628,-42.8237
1.10274,-52.6777
1.15556,-81.7583
0.823372,-48.4944
0.68628,-47.667
0.700141,-48.4865
0.907814,-44.9357
0.330202,-24.167
1.56266,-96.4656
1.28209,-50.0564
1.65195,-82.201
0.33895,-22.0864
0.0905313,-5.26936
1.69852,-82.425
1.13316,-75.5247
1.22574,-76.7643
1.62402,-52.7442
0.806399,-51.8963
1.04262,-40.4272
0.362369,-24.6434
1.57147,-105.801
1.29782,-72.8279
0.792039,-42.5538
0.919992,-58.523
1.28527,-81.7174
0.787249,-45.9095
1.01665,-46.0764
0.89521,-48.6
0.230333,-17.6465
0.428746,-28.9449
0.716605,-45.3691
0.659518,-39.4788
1.84717,-126.813
0.0791415,-3.39341
0.898659,-59.3851
0.81759,-51.7088
0.205228,-9.5634
0.244391,-8.28597
0.592163,-35.5217
1.09934,-43.58
1.34661,-49.1409
1.31093,-91.6311
0.199798,-11.0011
0.807984,-37.1845
0.573435,-24.0885
0.650644,-49.5029
1.45604,-80.3866
0.658609,-44.0194
1.02726,-51.8443
1.85768,-121.314
0.823408,-50.9436
1.25997,-81.6268
0.830951,-48.0067
1.17302,-77.6871
0.14202,-9.84342
1.70432,-113.926
1.20661,-80.0755
1.16283,-67.9069
1.12878,-81.9448
1.22138,-58.4106
0.428075,-25.402
0.22957,-13.5231
1.38964,-84.5799
1.95439,-131.072
0.131275,-8.87845
1.53841,-73.3388
1.84939,-79.6157
1.04999,-62.3757
0.969552,-39.8889
0.632132,-44.9446
0.132696,-2.12428
1.79519,-115.061
0.44871,-29.6973
1.43666,-97.5535
0.197189,-9.81863
1.57111,-100.235
0.196877,-11.2174
1.31101,-79.7765
0.151,-9.64344
1.39745,-89.8372
1.81959,-123.198
0.429893,-31.7438
1.20082,-61.6612
0.681715,-53.896
0.0942544,-6.44835
1.15976,-77.609
0.0749765,-4.49234
0.786688,-37.1675
0.932287,-54.4382
0.428066,-28.5414
0.0640063,0.435458
0.600414,-42.9722
0.415517,-15.7863
1.6273,-110.408
0.852223,-55.5097
1.07569,-70.9524
1.23733,-73.5169
0.472074,-28.5712
1.04734,-71.9501
0.946425,-59.8256
0.452629,-17.254
0.450725,-25.5181
0.200661,-14.7392
1.26963,-89.7162
0.872578,-54.5616
0.694847,-47.5061
0.848736,-55.0893
0.860028,-47.2201
0.855455,-45.2228
0.605527,-38.2133
1.47941,-94.3316
0.746919,-51.2428
0.767496,-44.8383
0.150928,-4.10371
1.46812,-98.1508
0.904979,-48.5636
0.593223,-32.0953
1.34699,-80.835
1.21815,-77.9909
1.14731,-77.4518
1.57675,-103.247
1.28557,-89.6083
1.5385,-57.657
0.91131,-59.7009
0.421364,-24.4193
0.695945,-45.9395
1.44449,-84.1611
0.565963,-27.8844
0.348617,-22.5221
0.0894719,-5.90467
0.683702,-49.616
1.66157,-73.784
0.25737,-19.4174
0.549798,-25.9199
0.528518,-30.6526
1.00065,-46.9488
0.472099,-38.7301
0.558975,-36.5162
0.284567,-18.1835
0.605468,-37.5658
0.0893957,-9.11998
1.81055,-124.071
1.07726,-62.4215
1.67488,-114.765
1.047,-69.5607
1.08788,-73.0175
0.870985,-51.503
0.303117,-19.2315
0.23496,-13.7752
0.603841,-40.1463
0.985349,-65.0346
0.738527,-37.2443
1.16129,-66.9669
1.44379,-65.9019
0.844114,-39.7729
0.550981,-39.0281
1.17968,-69.3069
0.474388,-28.2617
0.555066,-12.2391
1.01569,-69.9626
1.32609,-72.4599
0.320159,-18.467
0.870215,-43.1286
0.0501097,-2.89252
0.986974,-57.8709
0.986438,-44.1713
1.86496,-64.5013
1.36262,-86.2119
0.114929,-9.30968
0.722174,-50.3099
0.236369,-16.6722
1.14306,-72.9524
1.26782,-78.551
0.540878,-44.3401
0.132631,-2.04409
0.461175,-29.5474
0.506646,-39.2749
0.217174,-16.605
0.800429,-49.6338
0.679813,-41.0855
1.50049,-84.6668
0.209938,-18.0337
0.21103,-17.3853
0.433572,-18.5932
1.07103,-74.6844
0.58694,-34.9134
0.737952,-44.3985
0.983383,-63.4554
0.539098,-28.9642
1.83159,-91.1835
0.467084,-36.0169
1.08472,-46.9757
0.399703,-30.746
0.398037,-27.2695
1.65529,-106.1
0.292702,-19.4079
0.675769,-57.7039
1.47484,-85.814
1.22362,-94.1699
0.443432,-24.1879
0.599028,-26.3979
0.369495,-26.6683
0.178422,-14.91
0.504883,-35.0074
0.281289,-20.2458
1.16603,-66.4899
1.12093,-40.3662
0.418265,-25.2675
1.15431,-67.0333
0.903615,-64.3888
1.5612,-91.0354
1.43181,-90.7233
0.231408,-12.3407
0.60867,-40.9002
0.389761,-21.8208
0.756834,-45.1608
1.59229,-85.9776
0.683086,-44.711
0.537655,-29.5657
0.400182,-23.4272
1.77106,-77.8584
0.166873,-6.97445
1.40467,-83.5077
0.830459,-58.5163
1.64263,-108.187
0.466384,-28.1512
1.13616,-67.9909
1.24725,-74.5343
1.6764,-109.854
1.04435,-72.7151
0.605088,-53.6771
0.731675,-51.6619
0.985093,-59.8955
1.52616,-94.8221
1.72662,-112.57
1.02065,-63.4247
1.55863,-103.478
0.529699,-35.6564
1.14838,-68.785
1.5623,-101.54
0.385106,-24.1728
0.422397,-19.4574
0.410201,-22.5882
1.16803,-22.5987
0.168701,-13.5814
0.766751,-43.4245
0.403917,-21.8054
0.678005,-41.3194
1.50962,-87.0794
0.499101,-40.5935
0.163446,-7.28113
0.927242,-63.7473
0.762914,-47.3723
0.282271,-14.3528
0.687441,-42.9767
0.609355,-35.8805
0.555225,-34.017
0.780633,-52.5567
0.167906,-4.75552
1.99872,-138.946
0.999214,-76.5228
1.68092,-94.602
1.53652,-87.0423
0.490577,-33.5963
1.39722,-64.5706
0.68231,-47.7474
0.569866,-28.8435
0.441807,-33.4019
0.709846,-32.555
0.682782,-28.8222
1.40927,-96.1847
0.861008,-30.501
0.486581,-25.7479
0.712924,-46.2723
0.758495,-53.3921
1.09076,-62.7972
1.09712,-72.589
0.514497,-26.5094
0.41232,-16.3428
1.30452,-93.6598
0.568142,-24.6702
0.936437,-52.2321
0.713945,-36.6163
0.739526,-53.4852
0.537477,-28.3519
0.294327,-16.7469
0.587482,-41.7643
1.0516,-59.8254
0.958503,-43.0464
1.33217,-76.7022
1.04051,-65.2944
0.737366,-33.9213
0.46386,-32.3879
0.0526297,-5.75972
1.51124,-91.6493
0.880016,-57.0889
1.6847,-112.57
1.41973,-85.0204
0.750236,-46.3878
0.623733,-37.5099
0.0404301,-5.81786
1.87797,-110.099
1.25708,-74.1591
0.540273,-36.348
0.858013,-58.5889
0.884806,-44.2477
0.739921,-39.1598
1.12219,-72.3568
0.543452,-35.7614
0.658625,-41.284
0.826806,-60.1938
0.575722,-35.6352
0.137333,-14.0816
0.194496,-6.0851
0.504734,-34.7962
0.487717,-26.3673
1.71192,-98.0301
0.887063,-48.0474
1.46031,-63.9563
0.415068,-17.89
1.63709,-94.9458
0.289868,-11.9004
0.554904,-37.3496
0.979302,-66.7469
1.24889,-88.0806
0.67783,-41.0987
1.22754,-82.5358
1.23913,-80.2008
0.92127,-66.1256
0.142377,-7.40886
1.67784,-107.13
0.297126,-18.9964
0.927605,-49.6024
1.24613,-75.5734
1.24487,-83.9861
1.5261,-59.3352
0.895748,-57.2532
0.414069,-15.7538
1.45788,-98.5409
0.397096,-12.8873
0.678284,-47.0489
0.256663,-11.631
0.449433,-19.5399
1.63768,-111.087
0.595496,-18.4365
1.4749,-89.608
0.571112,-28.0329
0.663849,-48.4581
1.91863,-115.824
0.480239,-32.3175
1.05285,-52.0447
1.60606,-110.472
0.0401075,-3.88932
0.878271,-41.338
0.397023,-32.0101
0.904271,-61.0642
1.41227,-63.1706
0.518637,-36.3597
0.699039,-32.6117
0.723706,-49.1887
0.350477,-16.6582
1.11442,-71.087
0.203647,-8.54591
1.67518,-86.6318
0.60965,-35.873
0.11833,-6.68902
1.51915,-92.3639
0.283262,-20.2189
0.0467823,-3.90209
0.798279,-47.2391
0.674085,-42.3191
0.498477,-33.2059
0.44481,-21.3415
0.781918,-32.1689
0.102685,-4.47938
0.590603,-28.6566
0.924145,-54.1153
0.819966,-51.8952
1.68842,-100.406
1.31315,-76.6372
1.34915,-61.7433
0.923015,-41.4023
1.00894,-66.3936
0.55542,-35.464
1.28348,-86.8881
1.63888,-78.0289
1.33056,-88.2055
0.886187,-48.0807
