mcEdepQuenched,posr,BerekelyAlphaBeta
0.567943,5299.92,-36.3843
1.00428,5222.56,-62.7676
0.991487,3546.9,-58.8578
0.522699,4398.49,-37.1419
0.328577,4897.79,-21.6884
1.54846,3412.24,-83.9138
1.18753,5808.74,-48.4072
1.11246,3010.54,-59.8064
1.26786,4620.11,-78.7661
1.10556,3648.64,-72.5757
1.38099,1739.33,-80.0218
0.26164,4420.74,-22.1875
1.41548,5062.33,-92.0868
0.0627615,4096.17,-1.89088
0.801302,5662.87,-39.6226
0.937717,3431.01,-61.2489
0.499434,4071.12,-32.2047
0.269984,5861.07,-9.38644
1.53854,3139.39,-97.1652
1.06984,4186.79,-73.4129
0.903575,4234.5,-65.1922
0.100391,5836.86,-4.00902
0.586868,5149.15,-36.0173
0.146101,5823.65,-8.41533
0.827198,5535.38,-39.762
0.651251,6002.4,-28.6578
0.89986,3827.72,-50.7376
0.877674,4182.93,-52.9801
1.63757,2596.25,-94.9407
0.766801,3205.58,-55.6011
1.32359,5863.18,-49.9519
1.07446,1270.76,-59.8964
0.166597,3910.45,-7.71911
0.603659,3040.68,-40.917
0.388342,4245.26,-21.9825
1.05073,5862.82,-44.5565
0.709354,2892.08,-54.1707
0.472439,5158.75,-26.7295
0.959908,5107.15,-64.1683
1.58021,6023.69,-60.114
0.664655,4141.2,-41.6768
1.55812,5077.1,-106.427
1.3925,5771.85,-61.343
0.613728,2878.55,-29.978
1.49085,4478.11,-104.102
1.20697,4613.23,-84.0787
0.136841,4831.22,-10.6668
0.247021,4566.51,-17.4766
0.60715,4355.18,-46.2521
0.186702,3876.81,-11.5232
1.39203,4148.89,-79.3137
0.23031,5479.18,-9.29787
0.305998,5901.6,-16.1319
1.64668,5302.66,-108.615
0.944465,5418.68,-51.2403
0.392407,5615.99,-14.2734
1.63867,5862.54,-64.077
0.880028,4552.53,-45.887
0.621717,3096.47,-38.0416
1.11846,5250.22,-80.7167
1.04669,3955.58,-68.2869
0.556101,2612.1,-32.0536
0.238372,3323.68,-12.4626
0.259621,5652.77,-13.7965
1.28734,1861.31,-75.9195
1.07359,4821.62,-61.5957
0.970583,5486.35,-48.7231
1.01073,5816.06,-42.2926
0.512611,4643.32,-38.7984
1.53775,3788.98,-100.283
1.13499,5795.7,-53.3294
0.13099,5486.95,-7.55809
0.46551,4936.74,-31.1028
1.06232,3170.58,-68.305
0.345445,3133.84,-18.9971
0.43382,5030.97,-32.9054
0.939074,2220.83,-63.9375
1.21772,5148.74,-89.7606
1.74568,4386.86,-108.113
0.976062,5682.59,-41.2194
0.759587,5265.22,-52.1206
1.22291,5436.36,-56.8397
1.12861,2773.28,-71.1303
1.72306,3435.2,-124.091
1.0761,4706.71,-66.2549
0.451034,5596.8,-22.4541
1.04147,4279.48,-71.2839
1.14741,4912.55,-74.7066
1.18288,5957.59,-47.4347
0.391142,3364.02,-29.9429
2.08627,626.203,-116.349
1.67764,5690.28,-87.109
0.246419,4630.69,-12.6162
0.8094,5918.61,-30.1404
1.03234,5397.66,-52.1442
0.910888,4939.47,-54.6562
0.966968,5659.51,-41.4263
1.03145,3983.79,-66.7709
1.08233,3845.7,-78.2212
1.53991,5438.89,-54.7646
1.03615,3870.73,-61.6742
1.0995,1806.66,-61.6441
0.5559,5501,-39.504
0.270318,2573.94,-13.8625
0.998203,4825.3,-58.2331
0.202053,5434.59,-14.729
0.836035,3581.25,-56.2582
0.13352,4589.81,-9.86653
0.702212,5409.2,-41.341
1.25229,4453.53,-75.3018
0.581358,4849.9,-42.6954
1.35756,4132.56,-82.5488
0.331228,4867.49,-25.5357
0.574175,5560.46,-22.5477
1.63808,5214.27,-108.004
0.563602,5174.5,-36.3091
0.653394,5356.84,-39.6841
0.70544,5346.38,-48.2054
0.482465,2192.18,-36.2401
0.23933,3953.26,-13.4362
0.877616,4598.01,-52.375
0.264144,5747,-13.9131
1.12749,4128.78,-79.5859
0.12764,5521.04,-7.08516
0.528814,5208.41,-32.366
0.948383,4802.51,-66.1847
1.84281,4447.56,-129.293
1.2833,5555.03,-58.5012
0.479825,5161.5,-36.8839
1.31792,4388.88,-86.9679
0.523018,5109.77,-27.1997
0.945309,5642.94,-39.6859
0.641993,3141.32,-38.4756
1.36052,5635.39,-65.1444
0.590646,5274.78,-41.3333
0.382779,4952.53,-18.6496
1.446,4193.15,-100.94
0.878163,5676.52,-45.2041
1.54504,5448.42,-87.1724
1.70891,4200.07,-125.98
1.42132,5384.84,-78.7991
0.918197,4886.92,-71.7703
0.684671,5508.93,-35.6099
1.58682,3707.32,-88.7912
1.41341,3111.37,-90.2852
0.44775,1417.24,-22.6168
1.03685,1156.65,-63.3987
0.575872,5218.24,-35.5893
1.17985,3724.52,-60.0666
0.717232,4651.79,-41.5655
1.39958,3546.84,-82.9423
0.606792,5462.01,-36.9525
1.13453,4358.04,-75.5198
0.215261,5754.67,-7.50502
0.283876,6003.51,-16.6511
1.49714,5851.63,-60.3099
1.37241,3926.79,-86.2655
0.676861,4905.69,-49.2706
0.145047,3642.56,-7.64257
1.31003,4286.95,-81.7521
0.679327,5478.57,-44.5412
1.76696,5908.79,-75.6313
1.12555,5426.3,-31.1472
0.992285,5228.13,-61.4555
1.45985,4515,-89.923
0.750607,1102.91,-40.528
0.421767,5463.89,-20.7026
0.221704,4350.6,-12.1792
1.19415,4471.24,-78.5259
0.707843,5495.88,-40.7832
0.522238,5636.06,-28.7873
1.39583,5488.17,-80.2872
0.235843,3128.57,-16.7883
0.123958,5929.05,-8.58512
1.13206,4356.07,-80.603
1.00433,4591.56,-68.7296
1.07187,4422.14,-75.4315
0.356172,5652.29,-22.9283
0.774611,4675.83,-41.6215
1.05759,3305.43,-74.2402
0.814685,4310.66,-50.6525
0.699587,4097.62,-41.9711
0.74799,5239.54,-58.4771
0.358152,5617.37,-22.4899
0.804804,3739.41,-48.4876
1.67944,3944.8,-104.858
0.616835,5051.42,-41.8956
1.26013,4908.01,-66.1369
1.50798,4700.4,-102.289
1.01164,3999.46,-69.6975
0.790118,4301.94,-56.0022
0.789081,4440.15,-53.6874
0.593138,5995.83,-31.5508
1.68345,5660.81,-84.2076
0.920646,4508.77,-65.3961
0.913858,2966.13,-70.1197
1.53056,2064.54,-102.918
1.33807,4228.66,-83.6816
0.82604,4582.75,-59.4247
0.763005,3121.55,-50.5765
1.06318,2479.87,-52.9482
0.451602,5999.11,-18.3052
1.63214,4265.66,-92.9919
0.783277,5541.81,-51.0659
0.79821,2744.02,-51.1446
1.56509,5493.62,-77.9428
0.420826,5672.84,-15.5049
0.586551,5303.89,-42.9457
0.404381,4993.79,-26.6227
0.596014,4694.19,-38.1568
0.117571,4483.22,-9.48105
0.754038,3288.27,-58.6555
0.92772,5042.76,-69.9108
1.31187,5571.29,-62.7333
0.775466,4423.22,-52.5802
0.797949,4432.3,-50.3487
0.440777,3479.62,-33.6556
1.14547,4539.78,-72.1222
1.56881,5849.05,-76.6677
1.77557,5992.3,-62.6933
1.39275,4540.65,-92.2516
0.731555,755.384,-51.7944
1.75905,3525.82,-107.701
1.46104,2511.77,-88.3815
0.53723,4313.77,-28.6288
1.50499,1938.35,-72.9426
1.56567,5846.3,-71.2699
1.75697,5305.16,-116.204
1.35947,4292.64,-95.8888
1.58666,5526.64,-84.4181
0.332653,4594.34,-11.9704
0.846689,3035.6,-44.2011
1.38233,5337.68,-102.463
0.969802,1425.34,-69.4708
0.300175,4188.71,-17.6211
1.2416,5199.35,-78.8106
0.814257,3360.69,-51.178
0.258515,5168.62,-12.1254
0.832705,3866.71,-56.1828
0.418469,4030.37,-27.7386
0.725157,4119.25,-45.4673
0.310986,5217.54,-18.3507
0.610286,5167.68,-35.5534
1.16975,2015.51,-67.0646
0.382981,5862.69,-15.9123
0.39231,3138.44,-18.5459
0.249892,2674.3,-12.8428
1.23895,5367.93,-80.1172
0.246628,5165.43,-16.0816
1.02052,5963.71,-46.5261
1.41332,4093.35,-89.4812
0.345146,1092.18,-14.1212
0.0832806,5477.87,-6.41577
0.126012,5456.64,-6.29023
0.0836934,5160.97,-6.23939
0.280091,5914.94,-7.9987
1.41558,2231.4,-78.6437
0.512766,4920.22,-36.6289
0.801926,5726.44,-39.3769
1.58665,1749.36,-79.5678
0.671933,5629.99,-30.6236
0.0576844,4987.93,-4.63968
0.391969,5600.32,-22.0391
0.751916,4572.1,-51.6171
1.48001,6028.62,-56.6948
1.49646,4859.73,-118.552
0.248668,2486.16,-9.74402
1.02761,4934.84,-68.2167
1.14869,5000,-83.521
0.604426,4425.01,-39.6426
0.225076,3294.82,-13.5116
0.900183,5052.78,-59.8921
0.154356,5330.47,-15.5091
0.58934,2282,-36.1728
0.852648,5970.71,-29.9759
1.27662,1217.8,-72.6535
0.561541,3264.78,-36.7268
0.387335,1975.34,-21.3191
0.802423,4789.28,-43.3594
0.601108,3996.49,-36.1303
0.15973,3292.86,-8.85049
0.848456,2924.04,-56.3935
1.30092,4130.3,-81.1803
0.890568,3167.23,-61.193
0.968775,5586.09,-44.2993
0.183431,4757.81,-16.4296
1.0496,3957.09,-63.0337
1.68638,4907.02,-110.573
1.12132,4906.72,-70.0438
1.06724,4369.91,-71.3261
1.51557,5870.27,-66.4479
0.163183,1562.42,-10.8789
0.35963,4897.91,-26.0351
0.327658,5752.96,-14.387
0.335373,5286.55,-23.9717
0.326421,3777.69,-15.8394
0.923428,5673.04,-48.7269
1.19913,6022.68,-43.6773
0.387157,5231.04,-30.1217
0.953881,3093.21,-58.7594
0.223486,5934.82,-14.0064
1.30467,4022.85,-78.2099
0.508112,4852.69,-37.2492
0.45388,4689.71,-32.0895
0.397203,5339.42,-31.888
0.426326,3662.83,-30.7927
0.174233,3275.71,-8.69728
0.215606,4155.17,-19.5523
1.59397,3539.25,-99.6943
0.652721,5193.99,-43.8264
0.869466,1855.9,-55.2996
1.46002,5982.81,-48.1064
1.49605,3109.73,-93.3882
1.41279,5694.44,-61.2247
1.40806,5828.67,-68.2579
0.845591,3919.66,-59.5387
1.03039,3922.21,-60.6637
1.10285,3514.5,-72.8895
1.09986,4696.66,-78.175
0.834679,5820.36,-33.8208
0.410973,5788.62,-18.0792
0.209738,3363.63,-7.62853
1.16841,5685.56,-62.0826
1.02126,4389.05,-72.1918
0.923866,3063.55,-48.9302
0.35356,6059.75,-11.1021
0.517248,5110.56,-27.3862
1.48174,5175.01,-80.0786
1.03891,5821.26,-41.9679
1.22097,3189.25,-79.8536
1.08993,5195.5,-74.1883
0.465577,4122.32,-30.9576
0.651045,3736.1,-30.5827
1.4523,5085.71,-89.1473
1.30832,5074.51,-75.3514
0.377259,5086.56,-24.6831
1.31794,5716.67,-59.3783
0.520912,2758.1,-33.331
0.803481,5601.18,-38.7406
0.606862,4669.19,-41.4479
0.797826,5695,-36.279
0.280133,2796.1,-14.2142
1.44977,3130.17,-92.5598
0.91921,4953.11,-57.6239
0.901083,4144.48,-55.4564
0.986974,4774.61,-64.2604
1.10685,3583.84,-70.0539
0.780554,5734.29,-29.7599
0.671436,5609.86,-42.0821
1.2337,4659.95,-69.7927
0.336032,5416.38,-21.1556
1.18388,2464.28,-76.3203
1.02319,4034,-60.7734
0.862291,3272.96,-52.904
0.94374,4328.38,-62.0536
0.396887,5779.97,-13.9006
1.66549,5888.9,-67.2661
1.61106,5911.93,-57.7738
1.0417,5533.4,-64.91
1.02109,5303.27,-61.2863
0.431272,3649.56,-32.8651
1.47227,5130.07,-88.7985
0.910746,5419.46,-47.8181
0.399148,5364.66,-24.8702
1.25223,6000.68,-43.3901
0.615815,3215.54,-40.7158
0.28488,4484.23,-19.6266
1.71485,4895.83,-116.718
0.838677,2945.67,-55.1885
1.59516,6011.01,-65.6656
0.605073,2156.03,-37.63
0.377898,4902.27,-29.6927
1.05184,3681.54,-78.956
0.882095,5198.23,-50.5107
0.469958,3615.64,-31.1437
1.74998,5402.51,-80.7069
1.2998,3010.01,-79.5661
0.475453,5734.11,-26.4627
0.598514,2187.61,-31.0829
0.214153,3708.43,-12.97
0.142388,4319.74,-7.82993
0.618722,2422.7,-37.307
0.895811,3232.32,-54.7123
1.67021,5223.4,-110.78
0.119774,4135.78,-7.26497
0.326873,4304.41,-18.7745
0.523801,5971.8,-26.9971
0.392871,3216.86,-27.4942
0.623334,4466.39,-34.5703
0.116013,4687.83,-7.67974
0.75665,3093.55,-38.5523
1.12349,4931.1,-76.5835
1.34898,3342.04,-100.796
1.22918,4283.08,-79.956
0.80619,2428.88,-52.3673
1.33289,5380.6,-86.4039
1.58546,4710.61,-93.6131
0.692834,5142.18,-47.9142
1.48897,4424.69,-93.3273
0.690094,2890.68,-45.274
1.24111,3147.29,-80.6083
0.620766,3785.27,-46.047
0.968639,4250.77,-62.7246
0.366732,5805.89,-13.9999
1.41277,5720.01,-71.8146
1.55937,4483.07,-102.222
0.832893,3864.87,-70.7724
1.31221,4578.25,-86.0698
1.0385,5314.87,-66.5774
0.468199,5394.15,-20.3176
0.541197,4720.07,-39.2311
0.663178,4528.74,-42.9835
0.101468,4774.13,-6.98521
1.12644,4125.31,-59.8782
1.25227,5563.11,-57.367
0.741507,5400.81,-48.7075
0.10649,2660.58,-5.28917
0.878319,4439.15,-65.1566
0.22816,4504.96,-7.59117
0.99613,4985.13,-63.8328
0.549339,5616.14,-28.3704
0.627479,2784.57,-36.9331
0.33737,5843.82,-20.6037
1.09967,5619.55,-53.1137
1.83372,3486.14,-110.308
0.997246,5055.76,-74.9276
0.635982,4023.8,-52.7121
0.587855,2000.22,-34.3514
1.24577,5029.59,-80.8399
1.25438,5886.12,-54.6578
0.852026,5762.57,-38.9314
1.92692,6052.53,-74.9222
0.105224,5383.57,-7.34538
1.2502,5798.44,-55.6794
1.20748,4822.3,-80.8307
0.0923851,4592.53,-5.94809
0.457433,4632.41,-30.8111
0.615109,1178.92,-34.3443
0.190346,2624.07,-9.06225
1.30264,5553.87,-62.0287
1.00438,5663.55,-49.4431
1.02863,5560.56,-49.6835
0.205247,2647.63,-16.1095
1.94335,5843.9,-68.803
0.917237,5139.15,-59.3992
0.274868,5332.35,-20.5737
1.73208,596.201,-92.3615
1.70525,1784.22,-93.7397
1.30533,2825.71,-84.8187
0.890516,4573.64,-54.5334
1.71822,4600.86,-110.68
0.66973,4276.22,-38.2336
0.482376,3458.31,-29.5388
1.07021,4015.39,-78.3869
0.363874,4076.41,-28.5467
0.447213,6014.84,-22.3748
1.31036,5310.44,-74.2324
0.247001,5838.61,-11.8275
0.822713,4080.34,-55.9221
1.28801,5915.12,-53.6179
0.624369,2695.04,-47.9662
1.03985,5662.13,-55.7101
0.417987,4893.2,-25.1792
1.96051,5943.11,-76.1545
0.669758,4934.53,-42.3137
1.07748,2248.63,-59.6682
0.926221,1855.68,-51.4961
0.350946,4596.05,-25.6695
1.03845,3799.93,-74.6819
1.05208,5518.71,-49.687
0.870778,4703.39,-53.6154
0.745586,4095.25,-50.7182
0.227242,3795.92,-15.0398
0.69935,4409.37,-47.6305
1.82652,4240.83,-130.349
0.949835,4458.67,-65.2705
1.60863,2168.42,-104.638
1.20525,3697.83,-83.9567
1.01987,4430.56,-75.5333
0.830946,4253.18,-50.1241
0.770864,2145.67,-49.7651
1.07098,2830.56,-72.8522
1.04217,5712.94,-52.0824
0.569567,5820.4,-31.6531
0.63887,2042.64,-35.3417
0.608002,5788.41,-25.444
0.192842,5176.55,-14.2676
1.00623,5101.86,-64.3365
1.11059,3581.34,-68.8387
1.1387,3458.86,-76.7563
1.06577,3987.57,-69.0148
0.206438,3858.61,-13.2179
0.929565,5971.85,-36.0051
1.09242,5591.99,-59.71
0.918609,5042.04,-63.0879
1.2273,2607.02,-81.769
0.280232,4571.38,-21.6194
0.889879,4079.79,-55.8265
1.51113,2995.28,-92.2652
0.194147,5415.02,-11.2313
0.935048,5018.83,-54.7774
1.49439,3638.9,-82.4794
1.77045,2464.78,-104.894
1.15808,4324.38,-76.8555
0.763678,4076.93,-52.4286
0.704046,5561.63,-30.7972
0.256678,5079.62,-17.1194
1.04406,4802.38,-60.8867
0.501929,6033.08,-22.9466
0.330901,5928.13,-6.00441
1.66157,5080.28,-115.129
0.699493,3792.95,-46.7339
0.322277,5435.25,-12.9195
1.36581,5856.63,-56.1427
1.0385,5649.23,-46.0051
1.75802,4812.94,-117.64
1.46312,5427.62,-87.5558
1.04761,2546.03,-69.1067
1.26965,4845.48,-72.2312
0.838888,5122.07,-61.8887
1.48297,2715.63,-100.98
0.662252,5682.96,-37.4489
1.09879,5085.24,-67.9705
0.764581,5589.14,-41.8257
0.643875,5277.01,-39.8319
0.359881,3264.12,-21.5712
0.709931,3905.99,-46.2645
0.950887,5589,-56.1451
1.06916,5416.51,-53.8295
0.548241,5880.46,-30.3897
0.457934,3729.14,-36.8804
0.878333,3579.72,-10.1049
1.5294,4188.78,-89.4429
0.300254,3839.9,-22.3669
1.38312,5056.88,-83.8714
1.25554,2643.18,-81.4944
1.24493,4808.6,-93.6394
0.158627,5224.67,-10.6802
0.948116,616.16,-47.3039
0.605164,4025.66,-39.1806
1.31966,5751.15,-67.7127
0.0574932,4935.47,-4.43046
0.535986,5766.46,-28.5775
0.879593,5366.22,-55.4221
0.425794,5330.38,-25.1889
0.430037,4711.79,-29.5875
0.806127,5637.82,-31.3125
0.56084,4205.64,-33.4099
0.43175,2933.04,-31.2454
0.260491,4477.1,-21.2562
0.124779,4989.75,-5.19161
0.497842,5713.05,-27.6061
1.05648,2354.18,-67.014
1.07142,5580.58,-62.3322
0.3928,3829.29,-34.4253
1.15843,3363.72,-70.8767
0.22905,4891.6,-21.6651
0.170308,3150.68,-6.25846
0.974029,5220.47,-65.7274
1.66023,4657.64,-102.889
0.462006,2901.41,-29.4225
1.31673,5597.25,-54.8359
0.399928,3775.75,-15.6792
0.977461,2486.56,-64.7168
1.65097,1885.51,-110.783
1.48076,4525.56,-98.7744
1.91012,5135.79,-106.366
1.27942,5903.19,-56.707
0.367683,3354.76,-29.2978
0.504883,5445.78,-25.412
1.62841,5896.65,-66.3943
0.907562,4627.77,-57.9981
0.416356,2842.4,-28.0252
1.34574,5862.1,-56.8932
1.88228,5170.97,-117.447
1.21761,2433.49,-79.6607
0.74565,5474.76,-37.6587
0.843512,3250.16,-58.6939
1.11171,5029.73,-70.9464
1.31737,3925.26,-83.7077
1.44023,4094.93,-91.1756
1.32426,3221.43,-81.1092
1.49298,4910.55,-96.6972
0.351537,2407.17,-25.5597
0.810826,5742.34,-42.0246
1.97691,3136.33,-135.258
0.756634,5644.39,-33.5799
0.696401,5785.22,-33.6382
0.357093,5064.89,-26.2306
0.292465,5670.62,-15.6224
1.50387,3022.87,-85.2996
0.981433,4035.62,-65.7365
0.132662,5263.14,-11.3494
1.58741,5890.89,-66.4349
0.706142,3223.75,-42.9385
0.319953,5099.59,-25.7425
0.727732,5579.07,-26.6284
1.59149,3778.19,-94.4897
1.05619,5083.97,-61.7977
1.14372,5884.74,-45.4658
0.495869,4363.71,-30.4107
1.4672,4772.87,-97.5867
0.326551,4355.21,-21.0322
0.636247,5137.01,-42.4693
1.14161,3988.71,-85.0666
1.80977,4455.52,-114.578
0.876919,3870.8,-56.2288
0.996779,6058.07,-32.0046
1.23071,5826.38,-49.4167
1.48805,5763.76,-75.7906
0.618069,4937.46,-35.0243
0.470262,2276.29,-25.7434
0.0808307,4311.25,0.810802
0.0979262,1686.34,-6.78411
0.385412,3796.78,-24.5545
0.544885,3512.6,-31.1902
0.675706,4069.32,-32.1141
0.553957,3193.13,-37.4401
1.80467,3804.33,-114.336
0.798371,862.306,-46.4477
1.37885,5687.7,-55.0327
1.60114,5274.38,-104.028
0.647181,5759.37,-26.045
1.1733,4040.14,-87.8092
1.20331,4540.58,-81.5648
0.948656,5732.28,-61.9172
0.765521,4864.72,-52.1331
0.585186,2706.57,-34.891
0.297812,5270.81,-17.6502
0.110148,6059.43,-5.06913
0.54523,4011.11,-33.598
0.834862,4687.24,-52.0307
0.496702,5624.18,-35.2045
1.30188,5810.27,-61.3154
1.37958,5644.53,-68.4987
0.651228,5009.28,-45.5885
1.34642,5540.85,-73.6336
0.8357,5173.4,-59.257
0.213583,4304.71,-5.10746
0.104526,3477.86,-8.10604
0.861003,4211.8,-47.3253
0.336843,5944.67,-16.5992
0.79083,3217.44,-57.3715
0.747127,4967.2,-46.8929
0.766764,4681.77,-45.0256
1.54594,2207.4,-102.717
1.01244,3443.4,-62.4228
0.168563,4571.02,-13.1142
0.463387,5534.43,-18.1651
0.357044,4218.43,-22.5801
0.520444,5727.85,-22.4275
0.733149,4717.8,-44.4121
0.162383,4872.19,-11.6066
0.563144,5480.38,-28.1957
0.891836,5139.55,-62.3625
0.631737,4290.25,-46.4563
0.686722,2363.52,-40.4054
0.180775,1688.05,-5.9341
1.02253,5326.3,-64.0781
1.02465,4295.4,-64.5481
0.180161,5565.41,-10.504
0.262466,6059.98,-14.5148
0.554221,5276.81,-32.5473
0.512856,4982.98,-31.9438
0.266333,4050.22,-12.8224
1.47759,4511.96,-98.7198
0.258963,5861.11,-7.651
0.859692,2337.67,-46.3336
1.14095,5539.78,-65.0708
0.394469,5691.11,-25.0811
1.35919,5499.17,-63.4766
0.79601,3608.08,-47.1388
0.836161,5236.69,-50.1429
1.00147,5857.06,-44.9607
1.44146,2709.14,-76.8384
1.48981,5056.84,-93.4465
0.68017,6010.63,-24.7815
0.330605,4592.27,-17.7857
1.59325,3022.48,-80.7231
0.552805,5478.92,-27.1754
1.43739,5190.23,-89.6618
0.953491,4908.04,-60.1577
0.729084,5817.55,-35.2994
0.180713,4462.01,-10.4023
0.785751,4205.63,-51.3648
0.272798,1020.8,-12.8251
0.241763,1645.07,-12.5985
0.826465,5110.31,-61.2193
0.2306,2522.23,-9.722
0.973423,5731.62,-42.4793
0.943366,4698.61,-64.9873
0.262323,3840.19,-20.6078
1.98182,5791.58,-75.2133
0.226526,6059.59,-13.613
0.894329,4731.69,-58.8678
0.573334,2309.27,-38.386
0.736468,5206.99,-47.1565
1.7703,3833.38,-121.368
0.604496,5673.03,-27.3356
0.981965,5801.07,-40.8333
0.665553,4179.76,-55.7549
0.724231,4247.51,-32.871
1.55324,5903.8,-56.1996
0.664827,5098.84,-51.0053
0.484774,3297.61,-32.0754
1.55739,2209.89,-86.1305
0.691331,1459.82,-34.7142
1.30121,5071.05,-90.1472
1.50808,5465.71,-89.4087
0.518722,4631.61,-35.7796
0.898576,5574.86,-41.8765
0.718374,6004.09,-27.8295
0.899607,2505.34,-55.4099
1.22389,4098.48,-78.3182
1.22774,5126.47,-76.8087
1.90729,5932.63,-74.0768
0.0973328,4753.4,-8.06583
0.689512,4047.01,-40.9003
0.114885,1876.37,-8.43248
0.782479,5252.69,-51.1257
0.532252,3965.54,-37.966
1.22826,4336.09,-67.4444
1.96715,4205.13,-110.854
0.992109,3860.1,-71.1383
0.0578728,5788.99,-2.99719
0.606052,5596.15,-27.4047
0.786736,3919.24,-38.9204
0.208391,4214.67,-13.2352
0.168878,3873.14,-11.7764
0.710466,5788.88,-32.6722
0.920062,6006.39,-40.4805
0.583451,5386.16,-34.4395
0.925768,4300.35,-57.5674
1.22641,5121.45,-73.3735
1.16812,3499.23,-78.3474
0.535318,4474.28,-34.0629
0.553559,3596.62,-43.4177
0.774464,5026.96,-41.0412
1.09885,4714.61,-74.9099
0.476122,5692.02,-15.6137
0.482107,2232.14,-26.6848
0.64064,5610.9,-33.497
0.369207,5570.14,-20.0903
1.23936,5800.58,-46.6647
0.794189,3604.36,-56.0314
1.0359,5710.86,-53.7143
0.740354,4614.1,-42.8324
0.601316,6005.38,-30.7996
0.358986,4765.52,-21.1719
0.133125,2967.48,-2.3965
1.54494,4566.47,-94.8756
1.58131,4251.88,-108.04
0.476956,3596.23,-41.6607
1.39093,5900.57,-64.9121
1.41465,5169.44,-100.305
0.919577,5602.48,-50.9356
1.50923,5839.88,-60.8161
1.60556,4788.47,-100.243
0.708398,4022.89,-37.8208
0.163928,3385.29,-7.59428
1.77376,4520.27,-121.167
1.90198,4588.37,-129.566
1.12707,5037.24,-66.227
0.996276,5658.49,-58.8251
0.579924,2722.05,-35.5403
0.143343,4243.97,-6.58385
1.72137,5610.92,-79.29
1.0628,5107.15,-71.2527
1.13741,5951.26,-45.6674
0.446868,5314.6,-31.2041
1.51542,2741.04,-91.8276
0.346448,3923.81,-17.1784
1.42639,5651.86,-65.8295
1.19435,5477.71,-71.9405
0.0878273,2213.97,-4.10235
0.997215,3604.39,-62.3237
1.07143,3220,-73.5727
0.419835,5231.76,-33.199
0.275645,5108.68,-18.8399
0.927019,4794.8,-55.5203
